campaign_id,campaign_name,start_date,end_date,target_audience,conversion_rate,revenue_generated
1,Fully-configurable reciprocal framework,2023-05-09,2023-08-14,new customers,3.44,14482.84
2,Automated client-driven methodology,2023-01-12,2024-01-18,existing customers,4.67,83377.65
3,Cross-group bifurcated capacity,2022-05-30,2023-10-17,existing customers,14.01,70871.17
4,Triple-buffered stable protocol,2023-02-10,2023-11-22,existing customers,15.51,24650.81
5,Multi-lateral heuristic system engine,2022-09-19,2024-01-03,new customers,3.99,74197.11
6,Expanded high-level success,2022-06-07,2024-03-07,existing customers,8.75,11941.19
7,Networked homogeneous throughput,2023-04-17,2024-04-30,existing customers,3.97,80913.78
8,Exclusive incremental solution,2022-06-21,2023-12-07,new customers,15.05,93622.86
9,User-centric tangible access,2022-12-19,2024-01-07,all customers,4.36,23099.0
10,Organic real-time contingency,2022-09-26,2023-10-04,new customers,12.91,46584.7
